scenario,vehicle_count,nmax,peak_rsu,peak_time_s,radius_m,ever_covered_any,num_steps,avg_concurrent_requests,RSU1_max,RSU1_peak_time_s,RSU2_max,RSU2_peak_time_s,RSU3_max,RSU3_peak_time_s,RSU4_max,RSU4_peak_time_s,RSU5_max,RSU5_peak_time_s,Cui2019_avg_latency_ms,Cui2019_throughput_mbps,Dabra2024_avg_latency_ms,Dabra2024_throughput_mbps,Cui2025_avg_latency_ms,Cui2025_throughput_mbps,Yan2025_avg_latency_ms,Yan2025_throughput_mbps,Ours_Intra_AKA_batch_avg_latency_ms,Ours_Intra_AKA_batch_throughput_mbps,Ours_Inter_AKA_batch_avg_latency_ms,Ours_Inter_AKA_batch_throughput_mbps,Ours_Intra_ReAKA_batch_avg_latency_ms,Ours_Intra_ReAKA_batch_throughput_mbps,Ours_Inter_ReAKA_batch_avg_latency_ms,Ours_Inter_ReAKA_batch_throughput_mbps,Ours_Intra_AKA_noBatch_avg_latency_ms,Ours_Intra_AKA_noBatch_throughput_mbps,Ours_Inter_AKA_noBatch_avg_latency_ms,Ours_Inter_AKA_noBatch_throughput_mbps,Ours_Intra_ReAKA_noBatch_avg_latency_ms,Ours_Intra_ReAKA_noBatch_throughput_mbps,Ours_Inter_ReAKA_noBatch_avg_latency_ms,Ours_Inter_ReAKA_noBatch_throughput_mbps
chaoyang_200_run2.sumocfg,200,20,RSU1,940.0,200.0,True,1598,8.098247809762,20,940.0,8,239.0,8,451.0,7,311.0,6,323.0,2.356492933667101,18.914869341691066,0.654014493116400,380.386329866270387,0.290508443679602,579.823265408524549,0.675904056946188,447.815199549501017,0.340353158948688,832.968497192347968,0.345657511264083,826.183726542183081,0.226135471839801,575.275748460106001,0.231439824155196,566.569858987368320,0.349471785982481,811.234184548361668,0.360080490613269,793.091039942425368,0.235254098873594,552.977624784853674,0.245862803504382,533.333333333333371
chaoyang_200_run3.sumocfg,200,16,RSU1,956.0,200.0,True,1551,6.765312701483,16,956.0,7,357.0,8,371.0,6,472.0,4,468.0,1.968624812379112,18.914869341691066,0.546366653771761,380.386329866270387,0.242692062540297,579.823265408524549,0.564653294003869,447.815199549501017,0.284332562217924,832.968497192347968,0.288763842037395,826.183726542183081,0.188914591876209,575.275748460106001,0.193345871695680,566.569858987368320,0.291950304319794,811.234184548361668,0.300812863958737,793.091039942425368,0.196532333978079,552.977624784853674,0.205394893617021,533.333333333333371
chaoyang_200_run4.sumocfg,200,24,RSU1,1025.0,200.0,True,2003,9.252121817274,24,1025.0,7,247.0,8,447.0,6,813.0,4,125.0,2.692256423364928,18.914869341691066,0.747201357963049,380.386329866270387,0.331901365951070,579.823265408524549,0.772209843235140,447.815199549501017,0.388848175736392,832.968497192347968,0.394908315526706,826.183726542183081,0.258356249625559,575.275748460106001,0.264416389415874,566.569858987368320,0.399266064902643,811.234184548361668,0.411386344483271,793.091039942425368,0.268774138791810,552.977624784853674,0.280894418372439,533.333333333333371
chaoyang_200_run5.sumocfg,200,22,RSU1,958.0,200.0,True,1782,9.916947250281,22,958.0,11,420.0,8,549.0,7,604.0,5,466.0,2.885712646464681,18.914869341691066,0.800892659932670,380.386329866270387,0.355750648709320,579.823265408524549,0.827698168350178,447.815199549501017,0.416789459034797,832.968497192347968,0.423285059483731,826.183726542183081,0.276920835016838,575.275748460106001,0.283416435465772,566.569858987368320,0.427955941638614,811.234184548361668,0.440947142536481,793.091039942425368,0.288087317620654,552.977624784853674,0.301078518518522,533.333333333333371
chaoyang_200_run6.sumocfg,200,19,RSU1,761.0,200.0,True,1534,7.265319426336,19,761.0,8,513.0,10,722.0,6,664.0,5,880.0,2.114120769230745,18.914869341691066,0.586747196870919,380.386329866270387,0.260628803780962,579.823265408524549,0.606385355280306,447.815199549501017,0.305346844850062,832.968497192347968,0.310105629074312,826.183726542183081,0.202876779661015,575.275748460106001,0.207635563885265,566.569858987368320,0.313527594524116,811.234184548361668,0.323045162972617,793.091039942425368,0.211057529335069,552.977624784853674,0.220575097783570,533.333333333333371
chaoyang_200_run7.sumocfg,200,23,RSU1,676.0,200.0,True,1765,11.961473087819,23,676.0,7,248.0,9,729.0,6,669.0,5,695.0,3.480645130878184,18.914869341691066,0.966008566572237,380.386329866270387,0.429093924079320,579.823265408524549,0.998340428328611,447.815199549501017,0.502716790934844,832.968497192347968,0.510551555807365,826.183726542183081,0.334012174504249,575.275748460106001,0.341846939376770,566.569858987368320,0.516185409631728,811.234184548361668,0.531854939376770,793.091039942425368,0.347480793201133,552.977624784853674,0.363150322946175,533.333333333333371
chaoyang_200_run8.sumocfg,200,23,RSU1,678.0,200.0,True,1828,10.134026258206,23,678.0,8,716.0,10,637.0,6,140.0,6,509.0,2.948880032822747,18.914869341691066,0.818423960612689,380.386329866270387,0.363537923960611,579.823265408524549,0.845816233588618,447.815199549501017,0.425912855579867,832.968497192347968,0.432550642778992,826.183726542183081,0.282982549234135,575.275748460106001,0.289620336433259,566.569858987368320,0.437323769146607,811.234184548361668,0.450599343544856,793.091039942425368,0.294393462800874,552.977624784853674,0.307669037199124,533.333333333333371
chaoyang_200_run9.sumocfg,200,22,RSU1,1118.0,200.0,True,1820,9.426373626374,22,1118.0,8,358.0,13,355.0,11,314.0,6,614.0,2.742961608791212,18.914869341691066,0.761273934065935,380.386329866270387,0.338152301098901,579.823265408524549,0.786753421978023,447.815199549501017,0.396171630769231,832.968497192347968,0.402345905494506,826.183726542183081,0.263222057142857,575.275748460106001,0.269396331868132,566.569858987368320,0.406785727472528,811.234184548361668,0.419134276923077,793.091039942425368,0.273836153846154,552.977624784853674,0.286184703296704,533.333333333333371
chaoyang_300_run1.sumocfg,300,53,RSU1,974.0,200.0,True,2406,18.389443059019,53,974.0,12,1267.0,11,367.0,8,999.0,5,253.0,5.351107256857908,18.914869341691066,1.485131421446399,380.386329866270387,0.659684490856199,579.823265408524549,1.534838086034928,447.815199549501017,0.772871512884463,832.968497192347968,0.784916598088121,826.183726542183081,0.513506807980055,575.275748460106001,0.525551893183713,566.569858987368320,0.793578025768919,811.234184548361668,0.817668196176234,793.091039942425368,0.534213320864511,552.977624784853674,0.558303491271826,533.333333333333371
chaoyang_300_run10.sumocfg,300,34,RSU1,865.0,200.0,True,2926,15.641148325359,34,865.0,28,1059.0,10,475.0,8,367.0,8,430.0,4.551386468899468,18.914869341691066,1.263179138755966,380.386329866270387,0.561094913875591,579.823265408524549,1.305457162679410,447.815199549501017,0.657366181818174,832.968497192347968,0.667611133971284,826.183726542183081,0.436763425837315,575.275748460106001,0.447008377990425,566.569858987368320,0.674978114832528,811.234184548361668,0.695468019138748,793.091039942425368,0.454375358851669,552.977624784853674,0.474865263157889,533.333333333333371
chaoyang_300_run2.sumocfg,300,52,RSU1,853.0,200.0,True,2727,22.204253758709,52,853.0,23,871.0,11,266.0,9,582.0,6,239.0,6.461171392739335,18.914869341691066,1.793215533553372,380.386329866270387,0.796533195086183,579.823265408524549,1.853233631463164,447.815199549501017,0.933200376971039,832.968497192347968,0.947744163182994,826.183726542183081,0.620031581958202,575.275748460106001,0.634575368170156,566.569858987368320,0.958202366703346,811.234184548361668,0.987289939127255,793.091039942425368,0.645033571690508,552.977624784853674,0.674121144114418,533.333333333333371
chaoyang_300_run3.sumocfg,300,42,RSU1,980.0,200.0,True,2785,16.415798922801,42,980.0,28,1144.0,11,549.0,10,524.0,9,508.0,4.776800496947896,18.914869341691066,1.325739921005375,380.386329866270387,0.588883954757625,579.823265408524549,1.370111825493705,447.815199549501017,0.689923197127463,832.968497192347968,0.700675545421897,826.183726542183081,0.458394769120283,575.275748460106001,0.469147117414718,566.569858987368320,0.708407386714536,811.234184548361668,0.729912083303405,793.091039942425368,0.476878958707357,552.977624784853674,0.498383655296226,533.333333333333371
chaoyang_300_run4.sumocfg,300,50,RSU1,865.0,200.0,True,2576,17.787267080745,50,865.0,23,1054.0,11,530.0,6,404.0,6,327.0,5.175881273291922,18.914869341691066,1.436499689440993,380.386329866270387,0.638082631987577,579.823265408524549,1.484578672360247,447.815199549501017,0.747563260869565,832.968497192347968,0.759213920807453,826.183726542183081,0.496691645962733,575.275748460106001,0.508342305900621,566.569858987368320,0.767591723602484,811.234184548361668,0.790893043478260,793.091039942425368,0.516720108695652,552.977624784853674,0.540021428571428,533.333333333333371
chaoyang_300_run5.sumocfg,300,35,RSU1,504.0,200.0,True,3083,16.148232241323,35,504.0,25,992.0,11,527.0,8,250.0,7,627.0,4.698941803438192,18.914869341691066,1.304131235809272,380.386329866270387,0.579285535192992,579.823265408524549,1.347779907557569,447.815199549501017,0.678677904638337,832.968497192347968,0.689254996756404,826.183726542183081,0.450923237106713,575.275748460106001,0.461500329224779,566.569858987368320,0.696860814142067,811.234184548361668,0.718014998378200,793.091039942425368,0.469106146610443,552.977624784853674,0.490260330846576,533.333333333333371
